size,First,Last,Middle,Random
2330,653.719,1091.05,13.983,66.4935
2340,649.782,1098.82,13.7476,66.4858
2350,659.985,1108.02,13.6336,66.4106
2360,675.452,1120.01,14.3191,67.4401
2370,670.1,1132.29,13.881,67.6849
2380,674.9,1148.35,14.0031,67.893
2390,688.757,1146.47,14.0701,68.0775
2400,690.45,1155.76,14.1011,69.045
2410,691.875,1164.89,14.0586,67.3665
2420,703.033,1186.96,14.0731,67.861
2430,708.278,1184.64,14.173,68.292
2440,718.938,1206.63,15.3766,73.1145
2450,726.174,1205.69,14.4026,70.0791
2460,720.911,1212.49,14.3381,69.6265
2470,738.462,1223.21,14.5495,69.5986
2480,732.116,1232.93,14.349,69.5255
2490,730.972,1242.68,14.4476,71.2438
2500,754.068,1253.48,14.5691,71.0844
2510,746.288,1262.83,14.7615,71.2705
2520,756.787,1272.77,14.6517,70.6314
2530,766.46,1283.04,14.5946,70.8271
2540,796.73,1293.56,14.729,72.009
2550,775.052,1303.23,14.8021,72.7069
2560,775.767,1313.57,14.9005,72.5923
2570,791.027,1324.03,14.9416,72.3469
2580,790.669,1333.8,15.0952,72.9965
2590,785.018,1343.53,15.0962,73.2559
2600,806.181,1354.21,15.1051,73.6506
2610,839.978,1364.89,15.1575,74.3856
2620,812.091,1375.41,15.2117,73.8353
2630,834.495,1385.41,15.3681,73.9594
2640,834.6,1396.46,15.3731,73.7725
2650,834.605,1407.83,15.5911,74.4683
2660,854.64,1417.72,15.4715,75.5076
2670,853.173,1457.77,16.7426,76.7535
2680,845.635,1439.8,15.6235,75.5946
2690,866.514,1449.75,15.8935,75.9697
2700,863.304,1461.07,15.7081,77.2696
2710,875.997,1470.87,15.8402,76.0521
2720,880.997,1481.98,15.783,77.0354
2730,886.112,1492.49,15.9776,77.3819
2740,898.667,1504.09,15.8637,77.626
2750,915.932,1514.61,16.1901,77.7694
2760,905.083,1525.72,16.1041,78.318
2770,912.45,1536.62,16.0981,78.1745
2780,923.214,1547.79,16.1701,78.4145
2790,955.283,1559.14,16.2396,78.55
2800,928.237,1569.69,16.2766,79.9915
2810,927.363,1581.4,16.2931,78.9281
2820,935.385,1592.41,16.6356,79.3252
2830,980.738,1603.57,16.3356,79.074
2840,959.098,1614.9,16.7011,81.5294
2850,960.011,1626.61,16.7801,80.5982
2860,985.304,1668.76,17.4191,83.6646
2870,973.13,1648.97,16.9741,81.8381
2880,987.109,1660.97,16.7633,81.5785
2890,984.717,1672.26,16.9312,81.2866
2900,1007.09,1683.36,16.9302,82.4511
2910,1029.17,1695.08,16.9727,83.3505
2920,1015.69,1706.82,16.9121,82.6654
2930,1034.08,1718.81,16.9901,83.0683
2940,1017.66,1730.56,17.1115,83.1741
2950,1041.62,1741.89,17.2235,84.6406
2960,1054.26,1754.01,17.2407,84.0465
2970,1047.41,1766.4,17.7281,84.3135
2980,1046.79,1777.49,17.5221,84.8227
2990,1057.57,1789.5,17.5706,84.622
3000,1071.8,1801.58,17.6228,85.0694
3010,1085.16,1822.09,17.5797,85.2356
3020,1105.82,1824.85,18.0386,85.2895
3030,1079.77,1838.28,17.6631,85.5535
3040,1161.65,1959.09,20.2212,90.1591
3050,1147.14,1967.37,20.8901,92.0536
3060,1123.3,1897.77,19.6761,89.3674
3070,1138.97,1933.87,19.0406,89.1154
3080,1123.23,1898.22,18.1693,87.7193
3090,1158.81,1910.81,18.9226,87.7836
3100,1140.49,1924.4,18.4437,87.2445
3110,1144.22,1936.29,18.4001,87.0147
3120,1186.25,1949.65,19.3456,90.2867
3130,1165.29,1964.69,19.1551,90.4025
3140,1170.91,1976.83,19.5529,90.9435
3150,1185.73,1986.53,19.3967,90.9911
3160,1178.88,1997.84,18.7142,89.9555
3170,1190.32,2011.17,18.876,90.3482
3180,1201.68,2030.99,19.6496,92.6208
3190,1201.85,2056.14,19.5232,92.8958
3200,1234.4,2051.66,20.6287,92.1805
3210,1228.56,2065.97,19.3997,92.399
3220,1228.23,2092.39,20.0425,93.2437
3230,1241.36,2088.64,19.6132,91.1818
3240,1250.76,2100.17,19.4231,92.4382
3250,1255.28,2112.57,19.2341,92.1422
3260,1274.29,2126.56,19.4861,93.7191
3270,1282.54,2141.35,19.7816,92.7951
3280,1282.66,2159.92,19.7001,93.4041
3290,1280.79,2165.6,19.4211,93.3476
3300,1326.92,2178.84,19.4745,92.679
3310,1340.21,2191.67,19.5791,93.1672
3320,1313.73,2204.89,19.6932,94.9212
3330,1304.43,2217.87,19.6295,95.8306
3340,1322.45,2234.87,20.3436,96.0515
3350,1340.03,2246.51,20.1187,95.7155
3360,1333.38,2261.02,20.3315,96.2918
3370,1335.23,2272.73,20.3997,96.3977
3380,1340.86,2286.82,20.4856,97.1476
3390,1361.45,2297.84,20.8977,96.0436
3400,1378.85,2312.39,20.9357,97.6449
3410,1380.49,2327.07,20.6536,98.7326
3420,1379.99,2340.54,20.795,98.9403
3430,1423.79,2355.15,20.8366,97.7071
3440,1394.78,2367.45,21.0187,98.0715
3450,1449.83,2380.93,20.9526,97.0032
3460,1433.91,2401.75,21.0031,99.8137
3470,1431.57,2421.2,20.7141,99.8931
