size,First,Last,Middle,Random
2190,489.837,962.337,12.7486,58.7973
2200,497.893,978.796,13.2566,60.4597
2210,501.768,989.799,13.3207,60.8983
2220,505.71,991.09,13.2305,61.1358
2230,519.387,1014.55,13.6421,61.469
2240,530.226,1042.83,16.1521,63.5024
2250,517.358,1025.98,13.9687,62.1695
2260,521.861,1026,13.4191,60.8864
2270,539.31,1034.29,13.5091,61.2534
2280,530.691,1043.06,13.4501,61.9636
2290,535.958,1063.05,14.03,63.6433
2300,540.013,1061.7,13.7856,63.5425
2310,545.944,1070.57,13.791,62.1307
2320,549.924,1169.18,13.9845,62.8416
2330,556.362,1142.53,14.2466,63.2689
2340,558.921,1144.14,13.9005,64.4195
2350,563.518,1153.31,13.968,64.3269
2360,568.091,1190.21,13.8801,63.3553
2370,572.825,1138.15,13.7351,63.4389
2380,577.624,1157.06,13.6916,64.0724
2390,582.039,1180.37,13.8971,64.6185
2400,586.657,1203.43,13.9041,64.725
2410,591.957,1165.36,13.8911,64.7648
2420,596.587,1217.49,14.0085,65.9233
2430,602.07,1237.46,14.0636,65.83
2440,607.423,1229.46,14.1651,65.9056
2450,611.251,1233.14,14.2371,66.3245
2460,616.575,1221.04,14.25,66.3821
2470,621.67,1245.95,14.22,66.6805
2480,625.507,1271.21,14.3196,67.4439
2490,632.054,1309.21,14.5411,67.6305
2500,634.865,1260.18,14.6017,67.7073
2510,642.373,1295.58,14.5468,67.395
2520,645.687,1320.72,14.633,67.6221
2530,651.718,1324.05,14.5831,68.3486
2540,656.516,1351.79,14.6301,67.943
2550,661.461,1335.7,14.7341,69.3491
2560,666.621,1370.44,14.7692,69.2583
2570,672.182,1354.45,14.8651,69.145
2580,676.749,1369.95,14.9901,70.0644
2590,683.137,1355.35,15.1216,70.312
2600,687.676,1379.39,15.2778,70.3138
2610,692.852,1366.07,15.2491,70.8555
2620,697.997,1378.67,15.3696,70.2263
2630,703.24,1406.73,15.2575,71.6416
2640,708.366,1493.09,15.4747,72.0744
2650,713.746,1439.64,15.4027,71.8479
2660,719.266,1433.18,15.4351,71.6479
2670,725.032,1485.85,15.9148,71.8213
2680,729.918,1471.11,15.5342,72.5034
2690,735.393,1477.97,15.5892,72.8873
2700,740.785,1514.39,15.6326,73.3221
2710,745.907,1601.53,16.083,73.7386
2720,752.856,1535.18,15.8846,73.5139
2730,757.062,1568.59,15.934,73.8615
2740,785.093,1508.13,15.8745,73.7929
2750,768.284,1587.33,16.3111,74.2294
2760,774.218,1589.58,16.053,74.778
2770,781.124,1548.03,16.1645,75.599
2780,787.08,1627.58,16.4747,75.4169
2790,790.756,1559.67,16.2675,75.3045
2800,797.102,1660.26,16.3747,76.6763
2810,801.329,1611.18,16.2727,76.66
2820,806.718,1667.83,16.6171,76.2079
2830,812.924,1661.13,16.4525,77.1587
2840,818.29,1674.75,16.6731,76.9854
2850,824.398,1670.7,16.52,77.2775
2860,830.314,1645.78,16.5105,77.2491
2870,835.732,1660.29,16.7802,77.7385
2880,841.766,1736.27,16.7117,78.0778
2890,847.408,1742.46,16.7842,78.063
2900,853.057,1687.13,16.8238,78.6659
2910,859.48,1781.12,16.9366,78.827
2920,865.354,1711.15,16.888,78.5746
2930,870.732,1736.11,16.9091,79.0931
2940,876.816,1816.79,17.0232,79.804
2950,882.883,1751.57,17.1617,80.174
2960,889.471,1793.26,17.2561,79.5985
2970,902.289,1828.23,17.3265,80.8045
2980,900.745,1899.74,17.3026,81.2774
2990,1045.46,1956.43,20.9845,88.2426
3000,913.881,1800.95,17.7286,81.7994
3010,920.297,1815.41,17.6731,82.1394
3020,924.754,1825.23,17.8361,81.8256
3030,930.715,1844.95,17.7276,82.047
3040,945.326,1852.06,18.3217,83.269
3050,988.055,1954.65,19.8761,86.1092
3060,950.683,1875.61,18.196,83.4348
3070,955.64,1885.47,17.9846,83.1559
3080,964.512,1919.72,19.4162,85.2634
3090,968.731,1911.25,18.4101,83.6555
3100,973.947,1937.66,18.7251,85.0096
3110,987.256,1935.72,19.2225,85.2936
3120,986.327,1952.1,18.4992,84.5194
3130,997.493,1963.95,18.8567,85.3235
3140,998.435,1976.29,18.484,84.9376
3150,1005.31,1984.42,18.9472,85.6045
3160,1011.7,1997.36,18.5398,85.9184
3170,1019.65,2015.36,19.0931,92.4976
3180,1026.67,2059.39,19.0765,87.318
3190,1032.18,2043.22,19.0166,87.2305
3200,1042,2051.06,18.9206,87.1806
3210,1047.04,2064.85,19.0365,88.1071
3220,1053.3,2078,19.2211,87.6499
3230,1062.88,2090.33,19.1076,87.6234
3240,1066.49,2104.19,19.2396,87.9416
3250,1081.17,2118.42,19.3418,88.3964
3260,1079.5,2140.49,21.4511,91.0391
3270,1100.8,2155.25,20.6461,91.6756
3280,1093.23,2156.67,19.8196,89.8361
