size,First,Last,Middle,Random
2160,67.3212,57.8985,76.534,97.3375
2170,67.7663,58.0801,77.1303,97.4072
2180,68.2993,58.7911,77.5304,98.5906
2190,68.608,58.9087,77.8709,98.203
2200,68.7745,59.0835,78.2503,100.111
2210,68.7798,59.3997,78.3677,99.4288
2220,69.4088,59.3448,78.8137,99.8377
2230,69.3544,59.9324,79.0854,100.031
2240,70.3954,59.9565,79.5235,101.186
2250,70.2799,60.579,79.5379,101.653
2260,71.1529,60.8499,80.7411,101.567
2270,70.998,60.4208,81.052,102.731
2280,71.6159,61.7111,81.5989,102.339
2290,71.6274,61.1705,82.0089,103.823
2300,72.3015,61.8305,81.774,104.263
2310,73.5125,61.4149,81.6275,103.991
2320,72.7344,63.5855,82.1531,104.198
2330,72.9915,64.222,82.532,104.836
2340,74.726,63.0214,82.9271,104.876
2350,73.831,63.3019,83.593,106.491
2360,73.864,63.4963,84.4971,107.037
2370,74.1225,64.474,84.631,106.844
2380,75.3736,64.2053,84.5045,108.351
2390,75.2255,64.8459,85.6391,108.152
2400,75.7635,64.8233,86.3101,109.248
2410,76.2405,65.1919,86.198,109.479
2420,76.6045,65.951,86.458,109.602
2430,76.769,65.9915,86.6685,109.963
2440,77.1885,66.3889,87.2236,110.827
2450,77.324,66.5794,87.4296,111.018
2460,78.1269,67.3939,88.2066,111.352
2470,78.04,67.4844,88.5645,112.036
2480,78.313,67.8455,89.2505,112.597
2490,78.8865,67.6523,89.8312,113.288
2500,79.227,68.4268,89.0607,113.474
2510,79.9195,68.7114,90.4171,114.972
2520,79.6686,68.6244,90.6266,114.805
2530,80.7311,69.2964,90.4186,114.669
2540,80.4784,69.415,91.2626,115.477
2550,81.5236,69.562,91.7741,116.492
2560,81.2181,69.696,92.3565,116.555
2570,81.7746,70.1414,92.7872,116.813
2580,81.992,70.393,93.16,117.527
2590,82.4701,71.1609,93.48,118.094
2600,82.8096,71.7564,93.2251,118.599
2610,83.5,71.0355,94.5096,119.09
2620,83.8434,72.165,95.0135,119.622
2630,84.066,71.959,94.8625,120.067
2640,84.5131,72.4855,95.0936,120.282
2650,84.5505,72.7105,95.8627,120.775
2660,85.0155,72.919,96.8885,120.936
2670,85.579,73.91,96.7765,122.156
2680,85.3541,74.3389,97.7371,122.686
2690,86.754,75.2065,98.0462,123.959
2700,86.19,73.824,98.9976,123.565
2710,86.7255,84.6905,98.2437,124.414
2720,87.278,74.931,99.0522,124.524
2730,86.2961,75.5289,98.6342,124.874
2740,87.6341,75.7345,100.104,126.53
2750,96.8666,86.775,113.117,139.464
2760,88.0481,76.6746,99.6255,127.234
2770,88.9516,76.9671,101.933,127.613
2780,89.0931,76.9875,100.504,128.231
2790,89.6011,77.392,101.758,128.234
2800,89.9251,77.5061,101.966,130.02
2810,89.7078,78.2102,103.266,129.793
2820,90.3511,78.231,102.921,129.365
2830,90.3456,78.6666,103.52,140.321
2840,91.2196,78.933,103.776,130.547
2850,91.699,79.464,104.347,130.758
2860,92.0536,79.5824,104.147,131.545
2870,92.0431,79.5876,105.164,131.872
2880,92.8376,79.966,105.158,132.474
2890,93.3751,80.1035,105.841,132.883
2900,92.7771,80.2421,106.001,133.789
2910,92.8405,81.2236,107.058,133.521
2920,94.3276,81.834,107.588,135.18
2930,94.582,81.1506,107.816,135.391
2940,93.9621,82.2104,107.907,134.999
2950,95.2567,82.295,108.155,135.378
2960,95.5037,83.0056,108.256,136.746
2970,95.7372,83.2201,109.263,136.656
2980,96.0262,83.8065,109.683,137.149
2990,95.8186,84.1846,109.956,138.116
3000,96.7481,84.4915,110.086,139.123
3010,98.1785,84.5471,111.304,138.959
3020,97.3126,85.051,111.374,139.352
3030,97.2743,85.8804,111.691,140.764
3040,98.1714,85.5672,112.037,141.31
3050,99.083,85.9008,113.207,141.693
3060,98.54,86.2261,113.63,141.874
3070,99.4852,86.057,113.825,141.928
3080,99.3518,86.1108,113.935,141.577
3090,99.7211,87.1763,113.87,142.8
3100,100.026,87.2081,114.192,143.261
3110,100.484,87.5701,114.957,143.548
3120,101.49,87.3949,115.539,143.814
3130,101.22,88.4059,115.555,144.696
3140,125.555,111.751,142.04,182.47
3150,133.547,117.185,147.224,189.199
3160,105.537,92.2123,120.161,149.862
3170,103.37,89.6224,117.254,147.227
3180,103.919,90.1684,117.828,147.692
3190,103.285,90.7452,117.766,148.426
3200,103.843,90.6619,118.171,148.447
3210,115.919,100.754,131.107,162.996
3220,115.917,102.948,132.99,166.01
3230,112.201,96.8175,126.47,157.616
3240,109.894,95.5871,124.747,156.71
3250,113.576,97.486,127.815,161.789
3260,109.718,93.6467,123.572,154.667
3270,112.245,97.4707,125.535,159.163
3280,107.561,93.6456,123.641,156.903
3290,120.193,104.811,137.15,170.65
3300,110.788,94.6701,123.795,155.319
3310,120.97,104.804,135.536,173.371
3320,113.589,100.01,128.596,161.363
3330,116.413,100.8,131.51,168.72
3340,110.983,94.1236,123.968,155.93
3350,112.97,97.5216,128.064,159.895
3360,109.559,94.8752,127.011,156.663
3370,109.97,95.7781,126.961,156.404
3380,110.109,97.2986,126.425,157.33
3390,118.679,104.246,132.069,168.486
3400,115.097,99.5607,131.731,164.704
3410,115.13,100.128,131.585,164.305
3420,114.618,99.9183,130.751,162.631
3430,114.686,99.0957,129.791,160.038
3440,116.387,101.029,130.964,166.465
3450,113.29,98.7637,128.736,160.801
3460,118.148,103.135,133.653,167.032
3470,117.246,102.532,133.824,166.412
3480,114.74,100.017,130.326,163.563
3490,118.486,104.036,134.055,168.814
3500,118.466,102.73,135.013,168.164
3510,115.908,100.477,131.471,164.594
3520,120.802,105.009,137.024,172.953
3530,122.56,106.508,137.291,171.955
3540,120.843,109.06,134.944,170.524
3550,119.142,104.165,134.75,170.735
3560,116.39,101.993,135.022,167.045
3570,121.236,104.652,136.897,171.684
3580,118.175,102.646,134.733,168.188
3590,120.92,105.223,137.213,173.65
3600,117.734,102.873,135.088,169.461
3610,118.86,103.533,135.326,168.935
3620,119.868,103.772,136.617,169.352
3630,120.822,105.224,136.683,172.683
3640,119.334,104.784,136.935,171.368
3650,123.419,108.016,140.87,176.636
3660,123.67,108.257,141.554,175.699
3670,121.974,105.525,137.986,172.106
3680,121.692,105.868,139.477,172.849
3690,125.263,108.539,141.375,178.407
3700,122.63,105.709,140.252,174.781
3710,125.426,108.891,142.238,177.097
3720,123.523,107.02,140.015,174.95
3730,123.849,106.837,140.982,174.661
3740,123.183,107.013,140.845,175.853
3750,124.789,107.944,141.266,176.483
3760,124.656,108.138,141.216,175.925
3770,125.082,107.713,142.768,177.979
3780,125.854,108.977,142.804,178.266
3790,125.646,109.074,142.924,178.439
3800,126.507,108.547,143.345,179.545
